Year,Month,Date,Region,Temp,Above 35,Burnoff,Hectares burned,Region Hectares,Hectare Percent Burnt,Bushfire,Severe Bushfire
1986,4,1/04/1986,1,21.7,1,0,0,460481,0,0,0
1986,5,1/05/1986,1,18.7,0,0,0,460481,0,0,0
1986,6,1/06/1986,1,15.7,0,0,0,460481,0,0,0
1986,7,1/07/1986,1,14.0,0,0,0,460481,0,0,0
1986,8,1/08/1986,1,15.5,0,0,0,460481,0,0,0
1986,9,1/09/1986,1,17.2,0,0,0,460481,0,0,0
1986,10,1/10/1986,1,19.2,0,0,0,460481,0,0,0
1986,11,1/11/1986,1,23.7,1,0,0,460481,0,0,0
1986,12,1/12/1986,1,24.1,2,0,10,460481,0.002171642,1,0
1987,1,1/01/1987,1,24.6,2,0,31,460481,0.006732091,1,0
1987,2,1/02/1987,1,27.5,3,0,1,460481,0.000217164,1,0
1987,3,1/03/1987,1,23.4,0,0,0,460481,0,0,0
1987,4,1/04/1987,1,22.8,0,0,0,460481,0,0,0
1987,5,1/05/1987,1,18.3,0,0,0,460481,0,0,0
1987,6,1/06/1987,1,16.1,0,0,0,460481,0,0,0
1987,7,1/07/1987,1,14.3,0,0,0,460481,0,0,0
1987,8,1/08/1987,1,15.1,0,0,0,460481,0,0,0
1987,9,1/09/1987,1,18.5,0,0,0,460481,0,0,0
1987,10,1/10/1987,1,20.6,2,0,0,460481,0,0,0
1987,11,1/11/1987,1,24.0,1,0,0,460481,0,0,0
1987,12,1/12/1987,1,26.0,4,0,17,460481,0.003691792,1,0
1988,1,1/01/1988,1,28.1,6,0,0,460481,0,0,0
1988,2,1/02/1988,1,25.8,1,0,7,460481,0.00152015,1,0
1988,3,1/03/1988,1,26.6,1,0,0,460481,0,0,0
1988,4,1/04/1988,1,22.4,0,0,0,460481,0,0,0
1988,5,1/05/1988,1,19.6,0,0,0,460481,0,0,0
1988,6,1/06/1988,1,16.2,0,0,0,460481,0,0,0
1988,7,1/07/1988,1,15.4,0,0,0,460481,0,0,0
1988,8,1/08/1988,1,16.5,0,0,0,460481,0,0,0
1988,9,1/09/1988,1,20.0,0,0,0,460481,0,0,0
1988,10,1/10/1988,1,22.6,0,0,0,460481,0,0,0
1988,11,1/11/1988,1,22.5,3,0,0,460481,0,0,0
1988,12,1/12/1988,1,26.9,2,0,28,460481,0.006080598,1,0
